,w1,w2,predict,actual
0,ความรัก,เพศ,0.20310472,6.1
1,เสือ,แมว,0.35993788,7.05
2,เสือ,เสือ,1.0,10.0
3,หนังสือ,เอกสาร,0.52707016,7.8
4,คอมพิวเตอร์,แป้นพิมพ์,0.27969238,7.4
5,คอมพิวเตอร์,อินเทอร์เน็ต,0.4932962,7.45
6,เครื่องบิน,รถยนต์,0.39035445,6.5
7,รถไฟ,รถยนต์,0.37045315,6.65
8,โทรศัพท์,การสื่อสาร,0.30387366,7.4
9,โทรทัศน์,วิทยุ,0.6356662,6.9
10,สื่อ,วิทยุ,0.45933402,7.1
11,ยา,ใช้ในทางที่ผิด,0.018264178,4.45
12,ขนมปัง,เนย,0.4527414,6.8
13,แตงกวา,มันฝรั่ง,0.21410272,5.8
14,หมอ,พยาบาล,0.53247,7.3
15,ศาสตราจารย์,หมอ,0.25296488,6.2
16,นักศึกษา,ศาสตราจารย์,0.2934632,6.8
17,ฉลาด,นักเรียน,0.23493056,4.5
18,ฉลาด,โง่,0.5512456,5.9
19,บริษัท,หุ้น,0.5819739,5.8
20,คลังสินค้า,ตลาด,0.2974139,5.4
21,คลังสินค้า,โทรศัพท์,0.24799022,4.8
22,คลังสินค้า,แผ่นซีดี,0.5402475,4.7
23,คลังสินค้า,เสือจากัวร์,0.4719102,2.0
24,คลังสินค้า,ไข่,0.18164292,4.8
25,อุดมสมบูรณ์,ไข่,0.22478382,3.7
26,สัตว์เลี้ยง,อยู่อาศํย,0.5385292,4.55
27,สัตว์เลี้ยง,ชีวิต,0.36400026,6.4
28,หนังสือ,ห้องสมุด,0.28386128,8.1
29,ธนาคาร,เงิน,0.5697018,8.5
30,ไม้,ป่า,0.573269,8.25
31,เงิน,เงินสด,0.5748237,9.1
32,ศาสตราจารย์,แตงกวา,0.09286592,0.2
33,กษัตริย์,กะหล่ำปลี,0.157157,0.2
34,กษัตริย์,ราชินี,0.54025525,8.3
35,กษัตริย์,ทุจริต,0.19767493,1.8
36,หัวหน้าบาทหลวง,พระในศาสนายิว,0.26197827,6.9
37,เมืองเยรูซาเล็ม,ประเทศอิสราเอล,0.6128404,8.5
38,เมืองเยรูซาเล็ม,ชาวปาเลสไตน์,0.55612314,8.3
39,ที่เคร่งศาสนา,เพศ,0.27181685,3.7
40,มีเพศสัมพันธ์,เพศ,0.21890382,7.9
41,ดีเอโก มาราโดน่า,ฟุตบอล,0.17494915,8.5
42,ฟุตบอล,ซอกเกอร์,0.2800625,9.0
43,ฟุตบอล,บาสเกตบอล,0.5360856,7.8
44,ฟุตบอล,เทนนิส,0.48405188,7.2
45,เทนนิส,ไม้เทนนิส,0.44551036,7.9
46,ยัสเตอร์ อาราฟัท,สันติภาพ,0.1352122,5.8
47,ยัสเตอร์ อาราฟัท,ความหวาดกลัว,0.49356756,3.8
48,ยัสเตอร์ อาราฟัท,ไมเคิล แจ็คสัน,0.32240236,2.6
49,กฎหมาย,ทนายความ,0.47247592,8.1
50,ภาพยนตร์,นำแสดงโดย,0.20216803,6.8
51,ภาพยนตร์,ข้าวโพดคั่ว,0.23790005,5.3
52,ภาพยนตร์,นักวิจารณ์,0.3231791,6.2
53,ภาพยนตร์,โรงละคร,0.29511482,6.7
54,ฟิสิกส์,โปรตอน,0.23465365,7.3
55,ฟิสิกส์,เคมี,0.57295656,7.5
