,w1,w2,predict,actual
0,แก้ว,ข้ารับใช้,0.065455444,0.058
1,อาหาร,ลายเซ็น,0.18089436,0.068
2,อัญมณี,ลายเซ็น,0.12495255,0.098
3,ฝั่งทะเล,รถยนต์,0.26783782,0.11
4,สุนัข,เครื่องมือ,0.22263178,0.123
5,การเดินทาง,สุสาน,0.14535733,0.135
6,เที่ยงวัน,โรงละคร,0.38888896,0.175
7,เที่ยงวัน,การท่องเที่ยว,0.19968584,0.225
8,ยานพาหนะ,เพชรพลอย,0.59393644,0.243
9,เนินเขา,ผลไม้,0.3544953,0.278
10,นักมายากล,ถ้วย,0.166377,0.278
11,ป่าช้า,หมา,0.21215062,0.293
12,ฝั่งทะเล,พงไพร,0.09641144,0.318
13,นักมายากล,เครื่องมือ,0.42019033,0.32
14,การเดินทาง,กลางวัน,0.303586,0.343
15,นิตยสาร,ป้า,0.13734017,0.415
16,นักบวช,หนังสือ,0.25694627,0.42
17,เด็กผู้ชาย,หมา,0.31195873,0.44
18,สุนัข,เด็กหนุ่ม,0.31801644,0.53
19,วัด,พงไพร,0.16652997,0.54
20,ทาส,หมา,0.3066512,0.555
21,อาหาร,ถ้วย,0.30188978,0.65
22,ครู,หนังสือ,0.30419818,0.983
23,พืช,ผ้าไหม,-0.09393687,1.043
24,เด็กผู้ชาย,อาจารย์,0.23451944,1.083
25,โรงภาพยนตร์,โบสถ์,0.18322186,1.095
26,ทาส,เด็กหนุ่ม,0.21542141,1.16
27,เนินเขา,ชายฝั่ง,0.3240308,1.175
28,ยานพาหนะ,เครื่องมือ,0.6021936,1.265
29,ผ้าฝ้าย,ต้นไม้,0.20967355,1.283
30,อุปกรณ์,รถยนต์,0.39546338,1.336
31,ลุง,อาจารย์,0.40944484,1.41
32,ป่าไม้,ผลไม้,0.22997846,1.551
33,ครู,ป้า,0.27762264,1.625
34,นักบวช,พ่อมด,0.105787665,1.72
35,แก้ว,เพชรพลอย,0.32418957,1.923
36,นักมายากล,พ่อมด,0.095912874,2.01
37,วัด,สุสาน,0.34520385,2.15
38,พืช,พงไพร,0.19145668,2.21
39,ป่าไม้,ภูเขา,0.094601095,2.255
40,อาหาร,ผลไม้,0.3285691,2.363
41,แก้ว,ถ้วย,0.41933402,2.413
42,วัด,พระ,0.53009355,2.675
43,ลุง,ป้า,0.6062548,2.743
44,ป่าไม้,ต้นไม้,0.22781709,2.905
45,โรงภาพยนตร์,โรงละคร,0.5053616,3.018
46,เนินเขา,ภูเขา,0.38591355,3.023
47,เด็กผู้ชาย,เด็กหนุ่ม,0.8531593,3.03
48,ผ้าฝ้าย,ผ้าไหม,0.112806,3.05
49,ยานพาหนะ,รถยนต์,0.31064972,3.105
50,ฝั่งทะเล,ชายฝั่ง,0.28786218,3.118
51,อุปกรณ์,เครื่องมือ,0.47264078,3.12
52,ทาส,ข้ารับใช้,0.1481317,3.14
53,การเดินทาง,การท่องเที่ยว,0.2841385,3.188
54,นิตยสาร,หนังสือ,0.5406228,3.198
55,ลายมือชื่อ,ลายเซ็น,0.40800253,3.21
56,เที่ยงวัน,กลางวัน,0.5088952,3.235
57,ป่าไม้,พงไพร,0.044600297,3.303
58,อัญมณี,เพชรพลอย,0.31819,3.318
59,พืช,ต้นไม้,0.48761982,3.41
60,นักบวช,พระ,0.36428842,3.575
61,ป่าช้า,สุสาน,0.4263439,3.625
62,วัด,โบสถ์,0.4537846,3.693
63,ครู,อาจารย์,0.59248155,3.783
64,สุนัข,หมา,0.60374606,3.923
