,w1,w2,predict,actual
0,ความรัก,เพศ,0.2947532,6.1
1,เสือ,แมว,0.18896855,7.05
2,เสือ,เสือ,1.0000001,10.0
3,หนังสือ,เอกสาร,0.4400695,7.8
4,คอมพิวเตอร์,แป้นพิมพ์,0.3659932,7.4
5,คอมพิวเตอร์,อินเทอร์เน็ต,0.53311706,7.45
6,เครื่องบิน,รถยนต์,0.31404132,6.5
7,รถไฟ,รถยนต์,0.30793452,6.65
8,โทรศัพท์,การสื่อสาร,0.32592875,7.4
9,โทรทัศน์,วิทยุ,0.4600373,6.9
10,สื่อ,วิทยุ,0.34623522,7.1
11,ยา,ใช้ในทางที่ผิด,0.28182152,4.45
12,ขนมปัง,เนย,0.49507973,6.8
13,แตงกวา,มันฝรั่ง,0.55456805,5.8
14,หมอ,พยาบาล,0.5056905,7.3
15,ศาสตราจารย์,หมอ,0.27575755,6.2
16,นักศึกษา,ศาสตราจารย์,0.32191482,6.8
17,ฉลาด,นักเรียน,0.19788337,4.5
18,ฉลาด,โง่,0.42029214,5.9
19,บริษัท,หุ้น,0.36825907,5.8
20,คลังสินค้า,ตลาด,0.34331322,5.4
21,คลังสินค้า,โทรศัพท์,0.17996822,4.8
22,คลังสินค้า,แผ่นซีดี,0.2055238,4.7
23,คลังสินค้า,เสือจากัวร์,0.22296242,2.0
24,คลังสินค้า,ไข่,0.14079773,4.8
25,อุดมสมบูรณ์,ไข่,0.26301086,3.7
26,สัตว์เลี้ยง,อยู่อาศํย,0.31744665,4.55
27,สัตว์เลี้ยง,ชีวิต,0.2943316,6.4
28,หนังสือ,ห้องสมุด,0.49274674,8.1
29,ธนาคาร,เงิน,0.42769104,8.5
30,ไม้,ป่า,0.405906,8.25
31,เงิน,เงินสด,0.5879496,9.1
32,ศาสตราจารย์,แตงกวา,0.145468,0.2
33,กษัตริย์,กะหล่ำปลี,0.21548693,0.2
34,กษัตริย์,ราชินี,0.46016312,8.3
35,กษัตริย์,ทุจริต,0.16529188,1.8
36,หัวหน้าบาทหลวง,พระในศาสนายิว,0.53019917,6.9
37,เมืองเยรูซาเล็ม,ประเทศอิสราเอล,0.6243243,8.5
38,เมืองเยรูซาเล็ม,ชาวปาเลสไตน์,0.56735176,8.3
39,ที่เคร่งศาสนา,เพศ,0.35898924,3.7
40,มีเพศสัมพันธ์,เพศ,0.61711,7.9
41,ดีเอโก มาราโดน่า,ฟุตบอล,0.3600663,8.5
42,ฟุตบอล,ซอกเกอร์,0.23111336,9.0
43,ฟุตบอล,บาสเกตบอล,0.54222625,7.8
44,ฟุตบอล,เทนนิส,0.5730753,7.2
45,เทนนิส,ไม้เทนนิส,0.7249043,7.9
46,ยัสเตอร์ อาราฟัท,สันติภาพ,0.35981876,5.8
47,ยัสเตอร์ อาราฟัท,ความหวาดกลัว,0.33631793,3.8
48,ยัสเตอร์ อาราฟัท,ไมเคิล แจ็คสัน,0.46979618,2.6
49,กฎหมาย,ทนายความ,0.5334934,8.1
50,ภาพยนตร์,นำแสดงโดย,0.43041426,6.8
51,ภาพยนตร์,ข้าวโพดคั่ว,0.18616003,5.3
52,ภาพยนตร์,นักวิจารณ์,0.43239167,6.2
53,ภาพยนตร์,โรงละคร,0.35961533,6.7
54,ฟิสิกส์,โปรตอน,0.2994588,7.3
55,ฟิสิกส์,เคมี,0.58531076,7.5
56,อวกาศ,เคมี,0.29817447,4.7
57,แอลกอฮอล์,เคมี,0.3092374,7.15
58,เหล้าวอดก้า,เหล้าจิน,0.7972855,6.9
59,เหล้าวอดก้า,บรั่นดี,0.49738514,7.7
60,ดื่ม,รถยนต์,0.15132844,2.45
61,ดื่ม,หู,0.22468783,0.8
62,ดื่ม,ปาก,0.28479916,6.9
63,ดื่ม,กิน,0.58154947,7.4
64,ทารก,แม่,0.3622517,7.6
65,ดื่ม,แม่,0.24120136,2.75
66,รถยนต์,รถยนต์,0.9999999,10.0
67,อัญมณี,เพชรพลอย,0.5384594,8.8
68,การเดินทาง,การเดินทาง,1.0,10.0
69,เด็กผู้ชาย,เด็กหนุ่ม,0.5874255,9.0
70,ชายฝั่ง,ชายฝั่ง,1.0000001,10.0
71,ที่หลบภัย,โรงพยาบาลโรคประสาท,0.29818755,1.8
72,นักมายากล,พ่อมด,0.46873525,3.6
73,เที่ยงวัน,เที่ยง,0.66332585,7.7
74,เตาหลอม,เตาไฟ,0.66385955,6.95
75,อาหาร,ผลไม้,0.5436309,7.2
76,นก,ไก่ตัวผู้,0.4421044,6.65
77,นก,นกกระเรียน,0.6626962,7.7
78,เครื่องมือ,อุปกรณ์เครื่องใช้,0.5454572,7.6
79,น้องชาย,พระ,0.30013424,4.15
80,ปั้นจั่น,ดำเนินการ,0.20017333,2.65
81,เด็กหนุ่ม,พี่ชายหรือน้องชาย,0.5840297,5.9
82,การเดินทาง,รถยนต์,0.30336854,7.6
83,พระ,พยากรณ์,0.32224825,1.75
84,สุสาน,ป่าไม้,0.21967436,3.9
85,อาหาร,ไก่ตัวผู้,0.22323231,5.05
86,ชายฝั่ง,เนินเขา,0.42899388,5.15
87,ป่า,สุสาน,0.32612643,4.95
88,ชายฝั่ง,ป่า,0.38854432,5.75
89,พระ,ทาส,0.28685975,1.5
90,ชายฝั่ง,ป่า,0.38854432,5.85
91,เด็กหนุ่ม,พ่อมด,0.48618105,2.3
92,คอร์ด,ยิ้ม,0.26686555,0.5
93,กระจก,นักมายากล,0.15712881,2.15
