,w1,w2,predict,actual
0,เก่า,ใหม่,0.5006478,2.19
1,หลักแหลม,ฉลาด,0.66263866,8.44
2,ยาก,ยาก,1.0,10.0
3,สุข,ร่าเริง,0.28814158,6.67
4,ยาก,ง่าย,0.6262227,2.29
5,ด่วน,รวดเร็ว,0.29680845,7.19
6,สุข,ยินดี,0.2382507,5.31
7,สั้น,ยาว,0.5792286,2.4
8,เซ่อ,ทึ่ม,0.25923923,7.19
9,พิกล,แปลกประหลาด,0.4351773,7.6
10,กว้าง,แคบ,0.57319987,2.29
11,แย่,ห่วย,0.5749339,8.54
12,ง่าย,ยาก,0.6262227,2.19
13,เลว,แย่,0.50235754,6.77
14,ยาก,ง่าย,0.6262227,1.98
15,หลักแหลม,ทึ่ม,0.30289292,1.98
16,วิกลจริต,บ้า,0.3251454,8.65
17,สุข,บ้าคลั่ง,0.18396279,0.73
18,ใหญ่,ใหญ่,1.0,10.0
19,ยาก,ยาก,1.0,10.0
20,ใหม่,สด,0.25712335,7.4
21,แหลม,ทื่อ,0.27519852,1.67
22,เร็ว,ว่องไว,0.43856263,8.54
23,ทึ่ม,โง่,0.37488103,8.44
24,มหัศจรรย์,เป็นเลิศ,0.23169737,3.65
25,แปลก,แปลก,1.0,9.9
26,สุข,โกรธ,0.23719504,1.67
27,แคบ,กว้าง,0.57319987,2.19
28,เรียบ,ง่าย,0.2866754,4.17
29,เก่า,สด,0.21408226,1.25
30,ชัดเจน,ชัดเจน,1.0,10.0
31,ไม่แพง,ย่อมเยา,0.3673446,8.54
32,ดี,ใจกว้าง,0.3864444,3.33
33,ประหลาด,ปกติ,0.239955,1.35
34,ประหลาด,แปลก,0.6286451,7.81
35,เลว,ชั่ว,0.56514674,8.23
36,เศร้า,สนุกสนาน,0.36837393,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.38692725,6.04
38,รู้สึกผิด,ละอาย,0.5816285,7.92
39,งดงาม,มหัศจรรย์,0.4000062,4.38
40,มั่นใจ,แน่ใจ,0.5861263,8.85
41,ทึ่ม,หัวทึบ,0.29371902,7.81
42,กว้าง,ใหญ่,0.33749208,7.5
43,ดี,โหดร้าย,0.28529716,1.46
44,ใจร้อน,กระวนกระวาย,0.44734955,4.48
45,ใหญ่,กว้าง,0.33749208,6.98
46,แข็งแรง,ภูมิใจ,0.18985434,0.42
47,ไม่จำเป็น,จำเป็น,0.6624866,1.98
48,กระสับกระส่าย,อ่อนวัย,0.29930145,0.21
49,ทึ่ม,ฉลาด,0.33453727,1.88
50,เลว,ยอดเยี่ยม,0.20782934,0.73
51,ยาก,ง่าย,0.6262227,1.98
52,จำเป็น,สำคัญ,0.54572994,8.44
