,w1,w2,predict,actual
0,แก้ว,ข้ารับใช้,0.10246713,0.058
1,อาหาร,ลายเซ็น,0.081118874,0.068
2,อัญมณี,ลายเซ็น,0.120269775,0.098
3,ฝั่งทะเล,รถยนต์,0.1529764,0.11
4,สุนัข,เครื่องมือ,0.117073104,0.123
5,การเดินทาง,สุสาน,0.27269742,0.135
6,เที่ยงวัน,โรงละคร,0.21196483,0.175
7,เที่ยงวัน,การท่องเที่ยว,0.1499678,0.225
8,ยานพาหนะ,เพชรพลอย,0.26862115,0.243
9,เนินเขา,ผลไม้,0.23528159,0.278
10,นักมายากล,ถ้วย,0.17169969,0.278
11,ป่าช้า,หมา,0.24837822,0.293
12,ฝั่งทะเล,พงไพร,0.38137504,0.318
13,นักมายากล,เครื่องมือ,0.18002553,0.32
14,การเดินทาง,กลางวัน,0.24070334,0.343
15,นิตยสาร,ป้า,0.13323997,0.415
16,นักบวช,หนังสือ,0.19884726,0.42
17,เด็กผู้ชาย,หมา,0.32618728,0.44
18,สุนัข,เด็กหนุ่ม,0.25831562,0.53
19,วัด,พงไพร,0.13512993,0.54
20,ทาส,หมา,0.31671724,0.555
21,อาหาร,ถ้วย,0.29249787,0.65
22,ครู,หนังสือ,0.22998482,0.983
23,พืช,ผ้าไหม,0.23176971,1.043
24,เด็กผู้ชาย,อาจารย์,0.20587972,1.083
25,โรงภาพยนตร์,โบสถ์,0.20371485,1.095
26,ทาส,เด็กหนุ่ม,0.2899708,1.16
27,เนินเขา,ชายฝั่ง,0.4991049,1.175
28,ยานพาหนะ,เครื่องมือ,0.34664455,1.265
29,ผ้าฝ้าย,ต้นไม้,0.19131644,1.283
30,อุปกรณ์,รถยนต์,0.3280925,1.336
31,ลุง,อาจารย์,0.39618075,1.41
32,ป่าไม้,ผลไม้,0.2939667,1.551
33,ครู,ป้า,0.2560771,1.625
34,นักบวช,พ่อมด,0.3419546,1.72
35,แก้ว,เพชรพลอย,0.2667943,1.923
36,นักมายากล,พ่อมด,0.44383055,2.01
37,วัด,สุสาน,0.34689882,2.15
38,พืช,พงไพร,0.31970438,2.21
39,ป่าไม้,ภูเขา,0.5077062,2.255
40,อาหาร,ผลไม้,0.57384294,2.363
41,แก้ว,ถ้วย,0.40586475,2.413
42,วัด,พระ,0.44388792,2.675
43,ลุง,ป้า,0.5460115,2.743
44,ป่าไม้,ต้นไม้,0.49863538,2.905
45,โรงภาพยนตร์,โรงละคร,0.5787204,3.018
46,เนินเขา,ภูเขา,0.74348366,3.023
47,เด็กผู้ชาย,เด็กหนุ่ม,0.5694747,3.03
48,ผ้าฝ้าย,ผ้าไหม,0.6480166,3.05
49,ยานพาหนะ,รถยนต์,0.5530354,3.105
50,ฝั่งทะเล,ชายฝั่ง,0.7937065,3.118
51,อุปกรณ์,เครื่องมือ,0.59914905,3.12
52,ทาส,ข้ารับใช้,0.4111458,3.14
53,การเดินทาง,การท่องเที่ยว,0.5457105,3.188
54,นิตยสาร,หนังสือ,0.4726231,3.198
55,ลายมือชื่อ,ลายเซ็น,0.5272744,3.21
56,เที่ยงวัน,กลางวัน,0.5188195,3.235
57,ป่าไม้,พงไพร,0.4473337,3.303
58,อัญมณี,เพชรพลอย,0.6399838,3.318
59,พืช,ต้นไม้,0.505421,3.41
60,นักบวช,พระ,0.37587345,3.575
61,ป่าช้า,สุสาน,0.5392259,3.625
62,วัด,โบสถ์,0.45944387,3.693
63,ครู,อาจารย์,0.5857133,3.783
64,สุนัข,หมา,0.74428195,3.923
