,w1,w2,predict,actual
0,ความรัก,เพศ,0.3133443,6.1
1,เสือ,แมว,0.17592335,7.05
2,เสือ,เสือ,1.0000001,10.0
3,หนังสือ,เอกสาร,0.42239076,7.8
4,คอมพิวเตอร์,แป้นพิมพ์,0.41352302,7.4
5,คอมพิวเตอร์,อินเทอร์เน็ต,0.5035436,7.45
6,เครื่องบิน,รถยนต์,0.29335678,6.5
7,รถไฟ,รถยนต์,0.26042494,6.65
8,โทรศัพท์,การสื่อสาร,0.29702508,7.4
9,โทรทัศน์,วิทยุ,0.45619226,6.9
10,สื่อ,วิทยุ,0.33550826,7.1
11,ยา,ใช้ในทางที่ผิด,0.2247737,4.45
12,ขนมปัง,เนย,0.4778399,6.8
13,แตงกวา,มันฝรั่ง,0.5593168,5.8
14,หมอ,พยาบาล,0.47560397,7.3
15,ศาสตราจารย์,หมอ,0.2912641,6.2
16,นักศึกษา,ศาสตราจารย์,0.29965097,6.8
17,ฉลาด,นักเรียน,0.22101147,4.5
18,ฉลาด,โง่,0.44506696,5.9
19,บริษัท,หุ้น,0.3521853,5.8
20,คลังสินค้า,ตลาด,0.33823422,5.4
21,คลังสินค้า,โทรศัพท์,0.13404785,4.8
22,คลังสินค้า,แผ่นซีดี,0.2125381,4.7
23,คลังสินค้า,เสือจากัวร์,0.26262861,2.0
24,คลังสินค้า,ไข่,0.14519222,4.8
25,อุดมสมบูรณ์,ไข่,0.20885198,3.7
26,สัตว์เลี้ยง,อยู่อาศํย,0.3149179,4.55
27,สัตว์เลี้ยง,ชีวิต,0.29785773,6.4
28,หนังสือ,ห้องสมุด,0.48183113,8.1
29,ธนาคาร,เงิน,0.44109234,8.5
30,ไม้,ป่า,0.41222346,8.25
31,เงิน,เงินสด,0.5723789,9.1
32,ศาสตราจารย์,แตงกวา,0.18055132,0.2
33,กษัตริย์,กะหล่ำปลี,0.21660662,0.2
34,กษัตริย์,ราชินี,0.40733263,8.3
35,กษัตริย์,ทุจริต,0.22805876,1.8
36,หัวหน้าบาทหลวง,พระในศาสนายิว,0.5849117,6.9
37,เมืองเยรูซาเล็ม,ประเทศอิสราเอล,0.64647454,8.5
38,เมืองเยรูซาเล็ม,ชาวปาเลสไตน์,0.5593704,8.3
39,ที่เคร่งศาสนา,เพศ,0.32395896,3.7
40,มีเพศสัมพันธ์,เพศ,0.6134719,7.9
41,ดีเอโก มาราโดน่า,ฟุตบอล,0.36738545,8.5
42,ฟุตบอล,ซอกเกอร์,0.3176569,9.0
43,ฟุตบอล,บาสเกตบอล,0.53263396,7.8
44,ฟุตบอล,เทนนิส,0.5231011,7.2
45,เทนนิส,ไม้เทนนิส,0.750227,7.9
46,ยัสเตอร์ อาราฟัท,สันติภาพ,0.3544379,5.8
47,ยัสเตอร์ อาราฟัท,ความหวาดกลัว,0.32035142,3.8
48,ยัสเตอร์ อาราฟัท,ไมเคิล แจ็คสัน,0.4107295,2.6
49,กฎหมาย,ทนายความ,0.5041123,8.1
50,ภาพยนตร์,นำแสดงโดย,0.39982376,6.8
51,ภาพยนตร์,ข้าวโพดคั่ว,0.16046786,5.3
52,ภาพยนตร์,นักวิจารณ์,0.42084336,6.2
53,ภาพยนตร์,โรงละคร,0.37840977,6.7
54,ฟิสิกส์,โปรตอน,0.29534334,7.3
55,ฟิสิกส์,เคมี,0.5997938,7.5
56,อวกาศ,เคมี,0.21461454,4.7
57,แอลกอฮอล์,เคมี,0.26923594,7.15
58,เหล้าวอดก้า,เหล้าจิน,0.7395309,6.9
59,เหล้าวอดก้า,บรั่นดี,0.54564005,7.7
60,ดื่ม,รถยนต์,0.09498751,2.45
61,ดื่ม,หู,0.23230816,0.8
62,ดื่ม,ปาก,0.276459,6.9
63,ดื่ม,กิน,0.54931355,7.4
64,ทารก,แม่,0.3674113,7.6
65,ดื่ม,แม่,0.25037006,2.75
66,รถยนต์,รถยนต์,1.0,10.0
67,อัญมณี,เพชรพลอย,0.58792657,8.8
68,การเดินทาง,การเดินทาง,1.0,10.0
69,เด็กผู้ชาย,เด็กหนุ่ม,0.5545924,9.0
70,ชายฝั่ง,ชายฝั่ง,1.0,10.0
71,ที่หลบภัย,โรงพยาบาลโรคประสาท,0.27761623,1.8
72,นักมายากล,พ่อมด,0.4227579,3.6
73,เที่ยงวัน,เที่ยง,0.6123297,7.7
74,เตาหลอม,เตาไฟ,0.5968517,6.95
75,อาหาร,ผลไม้,0.520927,7.2
76,นก,ไก่ตัวผู้,0.46723714,6.65
77,นก,นกกระเรียน,0.65985346,7.7
78,เครื่องมือ,อุปกรณ์เครื่องใช้,0.5270689,7.6
79,น้องชาย,พระ,0.2484005,4.15
80,ปั้นจั่น,ดำเนินการ,0.21373644,2.65
81,เด็กหนุ่ม,พี่ชายหรือน้องชาย,0.597193,5.9
82,การเดินทาง,รถยนต์,0.31049627,7.6
83,พระ,พยากรณ์,0.31494865,1.75
84,สุสาน,ป่าไม้,0.23677725,3.9
85,อาหาร,ไก่ตัวผู้,0.24909686,5.05
86,ชายฝั่ง,เนินเขา,0.46805245,5.15
87,ป่า,สุสาน,0.31430188,4.95
88,ชายฝั่ง,ป่า,0.3762169,5.75
89,พระ,ทาส,0.2690704,1.5
90,ชายฝั่ง,ป่า,0.3762169,5.85
91,เด็กหนุ่ม,พ่อมด,0.40324694,2.3
92,คอร์ด,ยิ้ม,0.20080061,0.5
93,กระจก,นักมายากล,0.15033017,2.15
94,เที่ยงวัน,เชือก,0.100394875,0.4
95,ไก่ตัวผู้,การเดินทาง,0.24787489,0.4
96,เงิน,ดอลล่าร์,0.4586378,8.1
97,เงิน,เงินสด,0.5723789,9.3
98,เงิน,สกุลเงิน,0.691156,8.7
99,เงิน,ความร่ำรวย,0.38622412,7.5
100,เงิน,ทรัพย์สมบัติ,0.41593382,7.7
101,เงิน,สิ่งที่ครอบครองอยู่,0.22230087,6.8
102,เงิน,ธนาคาร,0.44109234,7.8
103,เงิน,เงินมัดจำ,0.4347724,7.65
104,เงิน,ถอนเงิน,0.51227564,7.25
105,เงิน,ฟอกเงิน,0.46680444,7.05
106,เงิน,การดำเนินการ,0.26355436,3.55
107,เสือ,เสือจากัวร์,0.47646296,8.4
108,เสือ,สัตว์ตระกูลแมว,0.3069468,7.4
109,เสือ,สัตว์กินเนื้อ,0.2656771,8.0
110,เสือ,สัตว์เลี้ยงลูกด้วยนม,0.2706443,8.3
111,เสือ,สัตว์,0.24955979,9.0
112,เสือ,สิ่งมีชีวิต,0.1597318,8.3
113,เสือ,สัตว์ป่า,0.35290945,8.5
114,เสือ,สวนสัตว์,0.196397,7.2
115,จิตวิทยา,จิตเวช,0.572815,8.6
116,จิตวิทยา,ความวิตกกังวล,0.38836312,7.5
117,จิตวิทยา,กลัว,0.216357,6.45
118,จิตวิทยา,ความหดหู่,0.2644087,6.3
119,จิตวิทยา,สถานรักษาพยาบาล,0.21100812,7.0
120,จิตวิทยา,แพทย์,0.3728978,7.5
121,จิตวิทยา,ซิกมัน ฟรอยด์,0.27776128,7.4
122,จิตวิทยา,จิตใจ,0.4657931,7.9
123,จิตวิทยา,สุขภาพ,0.34030253,7.15
124,จิตวิทยา,วิทยาศาสตร์,0.4770689,6.3
125,จิตวิทยา,กฎระเบียบ,0.23538479,3.9
126,จิตวิทยา,การรับรู้,0.3470068,5.6
127,ดาวเคราะห์,ดาว,0.46115595,8.6
128,ดาวเคราะห์,กลุ่มดาว,0.49879798,7.9
129,ดาวเคราะห์,พระจันทร์,0.30809224,6.6
130,ดาวเคราะห์,ดวงอาทิตย์,0.65009224,6.3
