,w1,w2,predict,actual
0,แก้ว,ข้ารับใช้,0.18719523,0.058
1,อาหาร,ลายเซ็น,0.04960373,0.068
2,อัญมณี,ลายเซ็น,0.15881838,0.098
3,ฝั่งทะเล,รถยนต์,0.16350414,0.11
4,สุนัข,เครื่องมือ,0.10198309,0.123
5,การเดินทาง,สุสาน,0.24089217,0.135
6,เที่ยงวัน,โรงละคร,0.19634503,0.175
7,เที่ยงวัน,การท่องเที่ยว,0.12900116,0.225
8,ยานพาหนะ,เพชรพลอย,0.27585036,0.243
9,เนินเขา,ผลไม้,0.20385703,0.278
10,นักมายากล,ถ้วย,0.11167792,0.278
11,ป่าช้า,หมา,0.23031297,0.293
12,ฝั่งทะเล,พงไพร,0.3813273,0.318
13,นักมายากล,เครื่องมือ,0.18287227,0.32
14,การเดินทาง,กลางวัน,0.2380891,0.343
15,นิตยสาร,ป้า,0.13074346,0.415
16,นักบวช,หนังสือ,0.2362129,0.42
17,เด็กผู้ชาย,หมา,0.2508843,0.44
18,สุนัข,เด็กหนุ่ม,0.20159757,0.53
19,วัด,พงไพร,0.2617702,0.54
20,ทาส,หมา,0.26485842,0.555
21,อาหาร,ถ้วย,0.2622057,0.65
22,ครู,หนังสือ,0.20492436,0.983
23,พืช,ผ้าไหม,0.21972756,1.043
24,เด็กผู้ชาย,อาจารย์,0.22885486,1.083
25,โรงภาพยนตร์,โบสถ์,0.21443759,1.095
26,ทาส,เด็กหนุ่ม,0.31994334,1.16
27,เนินเขา,ชายฝั่ง,0.41543812,1.175
28,ยานพาหนะ,เครื่องมือ,0.34668502,1.265
29,ผ้าฝ้าย,ต้นไม้,0.20646867,1.283
30,อุปกรณ์,รถยนต์,0.3404096,1.336
31,ลุง,อาจารย์,0.38227215,1.41
32,ป่าไม้,ผลไม้,0.26355538,1.551
33,ครู,ป้า,0.28705204,1.625
34,นักบวช,พ่อมด,0.4205984,1.72
35,แก้ว,เพชรพลอย,0.28651643,1.923
36,นักมายากล,พ่อมด,0.3704466,2.01
37,วัด,สุสาน,0.34664303,2.15
38,พืช,พงไพร,0.33502227,2.21
39,ป่าไม้,ภูเขา,0.46415102,2.255
40,อาหาร,ผลไม้,0.5659236,2.363
41,แก้ว,ถ้วย,0.38817012,2.413
42,วัด,พระ,0.4641014,2.675
43,ลุง,ป้า,0.534558,2.743
44,ป่าไม้,ต้นไม้,0.50986695,2.905
45,โรงภาพยนตร์,โรงละคร,0.5591779,3.018
46,เนินเขา,ภูเขา,0.71141386,3.023
47,เด็กผู้ชาย,เด็กหนุ่ม,0.5386831,3.03
48,ผ้าฝ้าย,ผ้าไหม,0.66168684,3.05
49,ยานพาหนะ,รถยนต์,0.52168816,3.105
50,ฝั่งทะเล,ชายฝั่ง,0.74460113,3.118
51,อุปกรณ์,เครื่องมือ,0.5962793,3.12
52,ทาส,ข้ารับใช้,0.41650712,3.14
53,การเดินทาง,การท่องเที่ยว,0.49471423,3.188
54,นิตยสาร,หนังสือ,0.43568632,3.198
55,ลายมือชื่อ,ลายเซ็น,0.5438733,3.21
56,เที่ยงวัน,กลางวัน,0.5158879,3.235
57,ป่าไม้,พงไพร,0.4885561,3.303
58,อัญมณี,เพชรพลอย,0.58095384,3.318
59,พืช,ต้นไม้,0.5039392,3.41
60,นักบวช,พระ,0.37787002,3.575
61,ป่าช้า,สุสาน,0.46140388,3.625
62,วัด,โบสถ์,0.44841135,3.693
63,ครู,อาจารย์,0.5652746,3.783
64,สุนัข,หมา,0.72856176,3.923
