,w1,w2,predict,actual
0,ความรัก,เพศ,0.3349117,6.1
1,เสือ,แมว,0.47940007,7.05
2,เสือ,เสือ,1.0,10.0
3,หนังสือ,เอกสาร,0.5240256,7.8
4,คอมพิวเตอร์,แป้นพิมพ์,0.4907613,7.4
5,คอมพิวเตอร์,อินเทอร์เน็ต,0.52427036,7.45
6,เครื่องบิน,รถยนต์,0.45575732,6.5
7,รถไฟ,รถยนต์,0.4436045,6.65
8,โทรศัพท์,การสื่อสาร,0.5147839,7.4
9,โทรทัศน์,วิทยุ,0.54954445,6.9
10,สื่อ,วิทยุ,0.39445284,7.1
11,ยา,ใช้ในทางที่ผิด,0.3139607,4.45
12,ขนมปัง,เนย,0.4477859,6.8
13,แตงกวา,มันฝรั่ง,0.6718851,5.8
14,หมอ,พยาบาล,0.41092312,7.3
15,ศาสตราจารย์,หมอ,0.19761756,6.2
16,นักศึกษา,ศาสตราจารย์,0.34278294,6.8
17,ฉลาด,นักเรียน,0.27116716,4.5
18,ฉลาด,โง่,0.4154788,5.9
19,บริษัท,หุ้น,0.564143,5.8
20,คลังสินค้า,ตลาด,0.4482257,5.4
21,คลังสินค้า,โทรศัพท์,0.24626839,4.8
22,คลังสินค้า,แผ่นซีดี,0.21050467,4.7
23,คลังสินค้า,เสือจากัวร์,0.21277972,2.0
24,คลังสินค้า,ไข่,0.15636715,4.8
25,อุดมสมบูรณ์,ไข่,0.2620995,3.7
26,สัตว์เลี้ยง,อยู่อาศํย,0.38619345,4.55
27,สัตว์เลี้ยง,ชีวิต,0.26090968,6.4
28,หนังสือ,ห้องสมุด,0.4890926,8.1
29,ธนาคาร,เงิน,0.34281835,8.5
30,ไม้,ป่า,0.4558533,8.25
31,เงิน,เงินสด,0.66547,9.1
32,ศาสตราจารย์,แตงกวา,0.050936036,0.2
33,กษัตริย์,กะหล่ำปลี,0.14219111,0.2
34,กษัตริย์,ราชินี,0.41996264,8.3
35,กษัตริย์,ทุจริต,0.13217734,1.8
36,หัวหน้าบาทหลวง,พระในศาสนายิว,0.59275305,6.9
37,เมืองเยรูซาเล็ม,ประเทศอิสราเอล,0.55756944,8.5
38,เมืองเยรูซาเล็ม,ชาวปาเลสไตน์,0.5459258,8.3
39,ที่เคร่งศาสนา,เพศ,0.31901395,3.7
40,มีเพศสัมพันธ์,เพศ,0.4790875,7.9
41,ดีเอโก มาราโดน่า,ฟุตบอล,0.2958084,8.5
42,ฟุตบอล,ซอกเกอร์,0.3340034,9.0
43,ฟุตบอล,บาสเกตบอล,0.5512317,7.8
44,ฟุตบอล,เทนนิส,0.488383,7.2
45,เทนนิส,ไม้เทนนิส,0.79481137,7.9
46,ยัสเตอร์ อาราฟัท,สันติภาพ,0.2521746,5.8
47,ยัสเตอร์ อาราฟัท,ความหวาดกลัว,0.31025046,3.8
48,ยัสเตอร์ อาราฟัท,ไมเคิล แจ็คสัน,0.49781644,2.6
49,กฎหมาย,ทนายความ,0.44051215,8.1
50,ภาพยนตร์,นำแสดงโดย,0.53361344,6.8
51,ภาพยนตร์,ข้าวโพดคั่ว,0.26993304,5.3
52,ภาพยนตร์,นักวิจารณ์,0.43795386,6.2
53,ภาพยนตร์,โรงละคร,0.38103643,6.7
54,ฟิสิกส์,โปรตอน,0.36934954,7.3
55,ฟิสิกส์,เคมี,0.6704308,7.5
56,อวกาศ,เคมี,0.20290503,4.7
57,แอลกอฮอล์,เคมี,0.3705896,7.15
58,เหล้าวอดก้า,เหล้าจิน,0.8246451,6.9
59,เหล้าวอดก้า,บรั่นดี,0.6277919,7.7
60,ดื่ม,รถยนต์,0.1554488,2.45
61,ดื่ม,หู,0.21119216,0.8
62,ดื่ม,ปาก,0.2039699,6.9
63,ดื่ม,กิน,0.5095626,7.4
64,ทารก,แม่,0.33299026,7.6
65,ดื่ม,แม่,0.24523954,2.75
