,w1,w2,predict,actual
0,แก้ว,ข้ารับใช้,0.19581136,0.058
1,อาหาร,ลายเซ็น,0.115583904,0.068
2,อัญมณี,ลายเซ็น,0.18919075,0.098
3,ฝั่งทะเล,รถยนต์,0.22439326,0.11
4,สุนัข,เครื่องมือ,0.21244912,0.123
5,การเดินทาง,สุสาน,0.20561066,0.135
6,เที่ยงวัน,โรงละคร,0.1018409,0.175
7,เที่ยงวัน,การท่องเที่ยว,0.20393534,0.225
8,ยานพาหนะ,เพชรพลอย,0.1738583,0.243
9,เนินเขา,ผลไม้,0.29369867,0.278
10,นักมายากล,ถ้วย,0.15797174,0.278
11,ป่าช้า,หมา,0.24849743,0.293
12,ฝั่งทะเล,พงไพร,0.17440781,0.318
13,นักมายากล,เครื่องมือ,0.22903207,0.32
14,การเดินทาง,กลางวัน,0.19185024,0.343
15,นิตยสาร,ป้า,0.08500211,0.415
16,นักบวช,หนังสือ,0.21139778,0.42
17,เด็กผู้ชาย,หมา,0.34650615,0.44
18,สุนัข,เด็กหนุ่ม,0.35210058,0.53
19,วัด,พงไพร,0.16632026,0.54
20,ทาส,หมา,0.17971449,0.555
21,อาหาร,ถ้วย,0.23434144,0.65
22,ครู,หนังสือ,0.23229577,0.983
23,พืช,ผ้าไหม,0.2236402,1.043
24,เด็กผู้ชาย,อาจารย์,0.28031993,1.083
25,โรงภาพยนตร์,โบสถ์,0.21650247,1.095
26,ทาส,เด็กหนุ่ม,0.25818595,1.16
27,เนินเขา,ชายฝั่ง,0.54178107,1.175
28,ยานพาหนะ,เครื่องมือ,0.31555015,1.265
29,ผ้าฝ้าย,ต้นไม้,0.26271766,1.283
30,อุปกรณ์,รถยนต์,0.32484087,1.336
31,ลุง,อาจารย์,0.33534658,1.41
32,ป่าไม้,ผลไม้,0.37574887,1.551
33,ครู,ป้า,0.3127013,1.625
34,นักบวช,พ่อมด,0.304576,1.72
35,แก้ว,เพชรพลอย,0.4483504,1.923
36,นักมายากล,พ่อมด,0.4336025,2.01
37,วัด,สุสาน,0.33609414,2.15
38,พืช,พงไพร,0.264637,2.21
39,ป่าไม้,ภูเขา,0.4384052,2.255
40,อาหาร,ผลไม้,0.5653638,2.363
41,แก้ว,ถ้วย,0.26459512,2.413
42,วัด,พระ,0.33984584,2.675
43,ลุง,ป้า,0.5078684,2.743
44,ป่าไม้,ต้นไม้,0.46454504,2.905
45,โรงภาพยนตร์,โรงละคร,0.5161932,3.018
46,เนินเขา,ภูเขา,0.75143516,3.023
47,เด็กผู้ชาย,เด็กหนุ่ม,0.59717834,3.03
48,ผ้าฝ้าย,ผ้าไหม,0.74543554,3.05
49,ยานพาหนะ,รถยนต์,0.6058336,3.105
50,ฝั่งทะเล,ชายฝั่ง,0.790187,3.118
51,อุปกรณ์,เครื่องมือ,0.61487675,3.12
52,ทาส,ข้ารับใช้,0.3795401,3.14
53,การเดินทาง,การท่องเที่ยว,0.48071286,3.188
54,นิตยสาร,หนังสือ,0.50308484,3.198
55,ลายมือชื่อ,ลายเซ็น,0.50923604,3.21
56,เที่ยงวัน,กลางวัน,0.6104979,3.235
57,ป่าไม้,พงไพร,0.30752847,3.303
58,อัญมณี,เพชรพลอย,0.6413213,3.318
59,พืช,ต้นไม้,0.51194483,3.41
60,นักบวช,พระ,0.3312965,3.575
61,ป่าช้า,สุสาน,0.49310735,3.625
62,วัด,โบสถ์,0.43445984,3.693
63,ครู,อาจารย์,0.61712366,3.783
64,สุนัข,หมา,0.5356171,3.923
