,w1,w2,predict,actual
0,ความรัก,เพศ,0.3004811,6.1
1,เสือ,แมว,0.5000596,7.05
2,เสือ,เสือ,1.0000001,10.0
3,หนังสือ,เอกสาร,0.53058267,7.8
4,คอมพิวเตอร์,แป้นพิมพ์,0.5027318,7.4
5,คอมพิวเตอร์,อินเทอร์เน็ต,0.49459583,7.45
6,เครื่องบิน,รถยนต์,0.4504455,6.5
7,รถไฟ,รถยนต์,0.43010452,6.65
8,โทรศัพท์,การสื่อสาร,0.51840556,7.4
9,โทรทัศน์,วิทยุ,0.55673116,6.9
10,สื่อ,วิทยุ,0.37110096,7.1
11,ยา,ใช้ในทางที่ผิด,0.20973495,4.45
12,ขนมปัง,เนย,0.45879948,6.8
13,แตงกวา,มันฝรั่ง,0.67381793,5.8
14,หมอ,พยาบาล,0.39005145,7.3
15,ศาสตราจารย์,หมอ,0.19295384,6.2
16,นักศึกษา,ศาสตราจารย์,0.34552145,6.8
17,ฉลาด,นักเรียน,0.23728298,4.5
18,ฉลาด,โง่,0.47662282,5.9
19,บริษัท,หุ้น,0.5701734,5.8
20,คลังสินค้า,ตลาด,0.4759852,5.4
21,คลังสินค้า,โทรศัพท์,0.2429836,4.8
22,คลังสินค้า,แผ่นซีดี,0.2304536,4.7
23,คลังสินค้า,เสือจากัวร์,0.26317212,2.0
24,คลังสินค้า,ไข่,0.13731417,4.8
25,อุดมสมบูรณ์,ไข่,0.24082288,3.7
26,สัตว์เลี้ยง,อยู่อาศํย,0.37175122,4.55
27,สัตว์เลี้ยง,ชีวิต,0.25459826,6.4
28,หนังสือ,ห้องสมุด,0.45742542,8.1
29,ธนาคาร,เงิน,0.37426707,8.5
30,ไม้,ป่า,0.45833424,8.25
31,เงิน,เงินสด,0.65311813,9.1
32,ศาสตราจารย์,แตงกวา,0.15142278,0.2
33,กษัตริย์,กะหล่ำปลี,0.14677143,0.2
34,กษัตริย์,ราชินี,0.42795178,8.3
35,กษัตริย์,ทุจริต,0.18755871,1.8
36,หัวหน้าบาทหลวง,พระในศาสนายิว,0.59520453,6.9
37,เมืองเยรูซาเล็ม,ประเทศอิสราเอล,0.56220275,8.5
38,เมืองเยรูซาเล็ม,ชาวปาเลสไตน์,0.52404314,8.3
39,ที่เคร่งศาสนา,เพศ,0.28727424,3.7
40,มีเพศสัมพันธ์,เพศ,0.47256145,7.9
41,ดีเอโก มาราโดน่า,ฟุตบอล,0.3918238,8.5
42,ฟุตบอล,ซอกเกอร์,0.3453036,9.0
43,ฟุตบอล,บาสเกตบอล,0.57999283,7.8
44,ฟุตบอล,เทนนิส,0.4960241,7.2
45,เทนนิส,ไม้เทนนิส,0.805956,7.9
46,ยัสเตอร์ อาราฟัท,สันติภาพ,0.27585903,5.8
47,ยัสเตอร์ อาราฟัท,ความหวาดกลัว,0.3095669,3.8
48,ยัสเตอร์ อาราฟัท,ไมเคิล แจ็คสัน,0.46102917,2.6
49,กฎหมาย,ทนายความ,0.47741538,8.1
50,ภาพยนตร์,นำแสดงโดย,0.53439575,6.8
51,ภาพยนตร์,ข้าวโพดคั่ว,0.2503812,5.3
52,ภาพยนตร์,นักวิจารณ์,0.4218639,6.2
53,ภาพยนตร์,โรงละคร,0.35175785,6.7
54,ฟิสิกส์,โปรตอน,0.42866075,7.3
55,ฟิสิกส์,เคมี,0.65812135,7.5
56,อวกาศ,เคมี,0.21982485,4.7
57,แอลกอฮอล์,เคมี,0.36622566,7.15
58,เหล้าวอดก้า,เหล้าจิน,0.7536833,6.9
59,เหล้าวอดก้า,บรั่นดี,0.6428151,7.7
60,ดื่ม,รถยนต์,0.20290259,2.45
61,ดื่ม,หู,0.19648463,0.8
62,ดื่ม,ปาก,0.2896938,6.9
63,ดื่ม,กิน,0.49922684,7.4
64,ทารก,แม่,0.3082322,7.6
65,ดื่ม,แม่,0.24553902,2.75
66,รถยนต์,รถยนต์,1.0000001,10.0
67,อัญมณี,เพชรพลอย,0.6601516,8.8
68,การเดินทาง,การเดินทาง,1.0,10.0
69,เด็กผู้ชาย,เด็กหนุ่ม,0.63194245,9.0
70,ชายฝั่ง,ชายฝั่ง,1.0,10.0
71,ที่หลบภัย,โรงพยาบาลโรคประสาท,0.23161063,1.8
72,นักมายากล,พ่อมด,0.3556722,3.6
73,เที่ยงวัน,เที่ยง,0.7047254,7.7
74,เตาหลอม,เตาไฟ,0.54890305,6.95
75,อาหาร,ผลไม้,0.5872265,7.2
76,นก,ไก่ตัวผู้,0.531377,6.65
77,นก,นกกระเรียน,0.7614755,7.7
78,เครื่องมือ,อุปกรณ์เครื่องใช้,0.67657995,7.6
79,น้องชาย,พระ,0.34843037,4.15
80,ปั้นจั่น,ดำเนินการ,0.21108703,2.65
81,เด็กหนุ่ม,พี่ชายหรือน้องชาย,0.51391274,5.9
82,การเดินทาง,รถยนต์,0.34036282,7.6
83,พระ,พยากรณ์,0.20183507,1.75
84,สุสาน,ป่าไม้,0.19547445,3.9
85,อาหาร,ไก่ตัวผู้,0.42903727,5.05
86,ชายฝั่ง,เนินเขา,0.5102512,5.15
87,ป่า,สุสาน,0.32723793,4.95
88,ชายฝั่ง,ป่า,0.3486644,5.75
89,พระ,ทาส,0.2317355,1.5
90,ชายฝั่ง,ป่า,0.3486644,5.85
91,เด็กหนุ่ม,พ่อมด,0.4656161,2.3
92,คอร์ด,ยิ้ม,0.20332181,0.5
93,กระจก,นักมายากล,0.19444229,2.15
94,เที่ยงวัน,เชือก,0.2191046,0.4
95,ไก่ตัวผู้,การเดินทาง,0.17485994,0.4
96,เงิน,ดอลล่าร์,0.5306801,8.1
97,เงิน,เงินสด,0.65311813,9.3
98,เงิน,สกุลเงิน,0.70636266,8.7
99,เงิน,ความร่ำรวย,0.34440392,7.5
100,เงิน,ทรัพย์สมบัติ,0.46765217,7.7
101,เงิน,สิ่งที่ครอบครองอยู่,0.23826143,6.8
102,เงิน,ธนาคาร,0.37426707,7.8
103,เงิน,เงินมัดจำ,0.5971134,7.65
104,เงิน,ถอนเงิน,0.5215008,7.25
105,เงิน,ฟอกเงิน,0.44630623,7.05
106,เงิน,การดำเนินการ,0.22400163,3.55
107,เสือ,เสือจากัวร์,0.4973916,8.4
108,เสือ,สัตว์ตระกูลแมว,0.46321055,7.4
109,เสือ,สัตว์กินเนื้อ,0.4107052,8.0
110,เสือ,สัตว์เลี้ยงลูกด้วยนม,0.32861236,8.3
111,เสือ,สัตว์,0.3908116,9.0
112,เสือ,สิ่งมีชีวิต,0.19225152,8.3
113,เสือ,สัตว์ป่า,0.36100957,8.5
114,เสือ,สวนสัตว์,0.3256345,7.2
115,จิตวิทยา,จิตเวช,0.6275003,8.6
116,จิตวิทยา,ความวิตกกังวล,0.37986973,7.5
117,จิตวิทยา,กลัว,0.15744977,6.45
118,จิตวิทยา,ความหดหู่,0.32353067,6.3
119,จิตวิทยา,สถานรักษาพยาบาล,0.34636548,7.0
120,จิตวิทยา,แพทย์,0.457011,7.5
121,จิตวิทยา,ซิกมัน ฟรอยด์,0.35068294,7.4
122,จิตวิทยา,จิตใจ,0.34796855,7.9
123,จิตวิทยา,สุขภาพ,0.42951185,7.15
124,จิตวิทยา,วิทยาศาสตร์,0.49048084,6.3
125,จิตวิทยา,กฎระเบียบ,0.24026206,3.9
126,จิตวิทยา,การรับรู้,0.46922052,5.6
127,ดาวเคราะห์,ดาว,0.6185714,8.6
128,ดาวเคราะห์,กลุ่มดาว,0.5098067,7.9
129,ดาวเคราะห์,พระจันทร์,0.22437245,6.6
130,ดาวเคราะห์,ดวงอาทิตย์,0.6044493,6.3
131,ดาวเคราะห์,กลุ่มดาวกาแล็กซี่,0.6199147,7.25
132,ดาวเคราะห์,อวกาศ,0.50530535,7.8
133,ดาวเคราะห์,นักดาราศาสตร์,0.55147225,7.15
134,ที่มาก่อน,ตัวอย่าง,0.25181448,3.85
135,ที่มาก่อน,ข่าวสาร,0.21763179,2.7
136,ที่มาก่อน,การรับรู้,0.18671721,2.3
137,ที่มาก่อน,กฎหมาย,0.12712668,2.25
138,ที่มาก่อน,รวบรวม,0.25812,2.9
139,ที่มาก่อน,กลุ่ม,0.2773624,2.3
140,ที่มาก่อน,บรรพบุรุษ,0.33020088,6.2
141,ถ้วย,กาแฟ,0.33665186,6.7
142,ถ้วย,เครื่องใช้สำหรับโต๊ะอาหาร,0.31092325,7.8
143,ถ้วย,บทความ,0.12569627,1.75
144,ถ้วย,สิ่งประดิษฐ์,0.19384801,4.5
145,ถ้วยรางวัล,วัตถุ,0.14040501,7.2
146,ถ้วย,สิ่ง,0.20565253,4.25
147,ถ้วย,ดื่ม,0.27111354,5.3
148,ถ้วย,อาหาร,0.19167224,5.9
149,ถ้วย,สสาร,0.13892803,5.35
150,ถ้วย,ของเหลว,0.24095254,4.0
151,เสือจากัวร์,แมว,0.45686758,6.2
152,รถยนต์ยี่ห้อจากัวร์,รถยนต์,0.80324674,8.65
153,พลังงาน,เลขานุการ,0.22574827,0.3
154,เลขาธิการ,วุฒิสภา,0.5024802,5.9
155,พลังงาน,ห้องทดลอง,0.34026876,4.85
156,คอมพิวเตอร์,ห้องทดลอง,0.38899297,6.25
157,อาวุธ,ความลับ,0.3130935,3.45
158,สำนักงานสืบสวนของสหรัฐอเมริกา,ลายนิ้วมือ,0.25901145,6.95
159,สำนักงานสืบสวนของสหรัฐอเมริกา,การสืบสวน,0.5875143,7.4
160,การสืบสวน,ความพยายาม,0.3997226,6.35
161,ดาวอังคาร,น้ำ,0.3075099,3.8
162,ดาวอังคาร,นักวิทยาศาสตร์,0.3497488,6.3
163,ข่าว,รายงาน,0.5216978,7.7
164,หุบเขาลึก,ภูมิประเทศ,0.53789246,7.9
165,มโนภาพ,ภายนอก,0.34112614,4.75
166,ค้นพบ,ที่ว่าง,0.08485097,1.75
167,น้ำ,การรั่วซึม,0.42773876,5.6
168,สัญลักษณ์,ช่วงเวลาหยุดพักระหว่างวิชา,0.23805429,0.5
169,วันพุธ,ข่าว,0.2645412,1.2
170,ไมล์,กิโลเมตร,0.7474046,7.4
171,คอมพิวเตอร์,ข่าว,0.1504271,4.1
172,อาณาเขต,พื้นผิว,0.21621966,5.25
173,บรรยากาศ,ทิวทัศน์,0.38223025,7.4
174,ประธาน,เหรียญรางวัล,0.16691417,4.7
175,สงคราม,กองทหาร,0.46958598,8.0
176,บันทึก,จำนวนเลข,0.18315586,5.0
177,ผิวหนัง,ดวงตา,0.4895531,6.8
178,ชาวญี่ปุ่น,ชาวอเมริกัน,0.5667982,7.5
179,ละครเวที,ประวัติศาสตร์,0.18687591,4.65
180,อาสาสมัคร,คำขวัญ,0.23954123,1.85
181,อคติ,จำได้,0.14926332,2.8
182,การตกแต่ง,กล้าหาญ,0.21499005,0.75
183,ศตวรรษ,ปี,0.2968686,7.3
184,ศตวรรษ,ชาติ,0.17738932,2.65
185,ล่าช้า,การเหยียดเชื้อชาติ,0.2121402,0.5
186,ล่าช้า,ข่าว,0.22886553,3.3
187,รัฐมนตรี,พรรค,0.47550312,7.1
188,สันติภาพ,แผน,0.21322134,3.95
189,ส่วนน้อย,สันติภาพ,0.1835759,1.9
190,ความพยายาม,สันติภาพ,0.39940247,2.5
191,รัฐบาล,วิกฤตการณ์,0.41805053,4.9
192,การเคลื่อนกำลังพล,การออกจาก,0.38569936,7.55
193,การเคลื่อนกำลังพล,การถอน,0.43181315,6.65
194,พลังงาน,ช่วงวิกฤต,0.25747967,4.3
195,การประกาศ,ข่าว,0.335,7.3
196,การประกาศ,พยายาม,0.23106474,2.8
197,โรคหลอดเลือดในสมอง,โรงพยาบาล,0.44265103,7.3
198,ความพิการ,ความตาย,0.4216199,4.7
199,เหยื่อ,ฉุกเฉิน,0.17764775,3.7
200,รักษา,การกู้คืน,0.29862687,6.75
201,วารสาร,สมาคม,0.336424,3.05
202,แพทย์,บุคลากร,0.505248,7.4
203,แพทย์,หนี้สิน,0.13435447,1.6
204,หนี้สิน,ประกัน,0.4227926,4.0
205,โรงเรียน,ศูนย์กลาง,0.17524365,4.0
206,เหตุผล,ความดันโลหิตสูง,0.2163697,1.6
207,เหตุผล,เกณฑ์,0.24566667,4.6
208,หนึ่งร้อย,เปอร์เซ็นต์,0.27203083,6.6
209,มหาวิทยาลัยฮาร์วาร์ด,มหาวิทยาลัยเยล,0.9422124,8.1
210,โรงพยาบาล,โครงสร้างพื้นฐาน,0.2291979,4.15
211,ตาย,แถว,0.16037363,1.0
212,ตาย,นักโทษ,0.37482527,4.1
213,ทนายความ,หลักฐาน,0.19835545,6.8
214,ชีวิต,ความตาย,0.45553184,6.6
215,ชีวิต,ระยะเวลาที่กำหนด,0.22810587,3.1
216,คำ,ความคล้ายคลึง,0.32589945,3.85
217,คณะกรรมการ,การแนะนำ,0.33941257,4.95
218,ผู้ปกครอง,สัมภาษณ์,0.13852087,2.6
219,กลุ่มประเทศผู้ส่งออกน้ำมัน,ประเทศ,0.5732673,5.1
220,สันติภาพ,ชั้นบรรยากาศ,0.12015505,0.7
221,สันติภาพ,ประกัน,0.29114258,1.1
222,ดินแดน,กิโลเมตร,0.26089892,3.85
223,เดินทาง,กิจกรรม,0.22257505,5.0
224,การแข่งขัน,ราคา,0.18096717,4.8
225,ผู้บริโภค,ความมั่นใจ,0.2744051,4.9
226,ผู้บริโภค,พลังงาน,0.3729051,4.15
227,คำถาม,สนามบิน,0.04278102,1.4
228,รถยนต์,เที่ยวบิน,0.26359913,3.45
229,สินเชื่อ,บัตร,0.33323243,3.9
230,ความน่าเชื่อถือ,ข่าวสาร,0.3601726,6.5
231,โรงแรม,การจอง,0.29413757,7.4
232,ร้านขายของชำ,เงิน,0.21774226,6.8
233,การลงทะเบียน,การเรียบเรียง,0.29699412,3.15
234,การจัดเตรียม,ที่พัก,0.38382235,4.3
235,เดือน,โรงแรม,0.18488836,2.8
236,รูปแบบ,ชนิด,0.36532575,6.7
237,การมาถึง,โรงแรม,0.18383214,3.8
