,w1,w2,predict,actual
0,แก้ว,ข้ารับใช้,0.21293204,0.058
1,อาหาร,ลายเซ็น,0.1111661,0.068
2,อัญมณี,ลายเซ็น,0.19016896,0.098
3,ฝั่งทะเล,รถยนต์,0.17107017,0.11
4,สุนัข,เครื่องมือ,0.20713302,0.123
5,การเดินทาง,สุสาน,0.18104896,0.135
6,เที่ยงวัน,โรงละคร,0.09630839,0.175
7,เที่ยงวัน,การท่องเที่ยว,0.16016906,0.225
8,ยานพาหนะ,เพชรพลอย,0.21584897,0.243
9,เนินเขา,ผลไม้,0.24589846,0.278
10,นักมายากล,ถ้วย,0.16391715,0.278
11,ป่าช้า,หมา,0.3532395,0.293
12,ฝั่งทะเล,พงไพร,0.20118445,0.318
13,นักมายากล,เครื่องมือ,0.21190356,0.32
14,การเดินทาง,กลางวัน,0.24029197,0.343
15,นิตยสาร,ป้า,0.10456095,0.415
16,นักบวช,หนังสือ,0.25821772,0.42
17,เด็กผู้ชาย,หมา,0.38301292,0.44
18,สุนัข,เด็กหนุ่ม,0.36912024,0.53
19,วัด,พงไพร,0.15535438,0.54
20,ทาส,หมา,0.2008492,0.555
21,อาหาร,ถ้วย,0.19167224,0.65
22,ครู,หนังสือ,0.20476054,0.983
23,พืช,ผ้าไหม,0.27193528,1.043
24,เด็กผู้ชาย,อาจารย์,0.26862153,1.083
25,โรงภาพยนตร์,โบสถ์,0.252365,1.095
26,ทาส,เด็กหนุ่ม,0.27118307,1.16
27,เนินเขา,ชายฝั่ง,0.5102512,1.175
28,ยานพาหนะ,เครื่องมือ,0.29875296,1.265
29,ผ้าฝ้าย,ต้นไม้,0.25373992,1.283
30,อุปกรณ์,รถยนต์,0.32953477,1.336
31,ลุง,อาจารย์,0.33967417,1.41
32,ป่าไม้,ผลไม้,0.39424142,1.551
33,ครู,ป้า,0.28383085,1.625
34,นักบวช,พ่อมด,0.31316504,1.72
35,แก้ว,เพชรพลอย,0.42485285,1.923
36,นักมายากล,พ่อมด,0.3556722,2.01
37,วัด,สุสาน,0.3107155,2.15
38,พืช,พงไพร,0.31364056,2.21
39,ป่าไม้,ภูเขา,0.4381653,2.255
40,อาหาร,ผลไม้,0.5872265,2.363
41,แก้ว,ถ้วย,0.26238582,2.413
42,วัด,พระ,0.3629654,2.675
43,ลุง,ป้า,0.52578515,2.743
44,ป่าไม้,ต้นไม้,0.46074358,2.905
45,โรงภาพยนตร์,โรงละคร,0.4785586,3.018
46,เนินเขา,ภูเขา,0.73828304,3.023
47,เด็กผู้ชาย,เด็กหนุ่ม,0.63194245,3.03
48,ผ้าฝ้าย,ผ้าไหม,0.766452,3.05
49,ยานพาหนะ,รถยนต์,0.6018117,3.105
50,ฝั่งทะเล,ชายฝั่ง,0.8033165,3.118
51,อุปกรณ์,เครื่องมือ,0.5933338,3.12
52,ทาส,ข้ารับใช้,0.36421362,3.14
53,การเดินทาง,การท่องเที่ยว,0.4443173,3.188
54,นิตยสาร,หนังสือ,0.45143935,3.198
55,ลายมือชื่อ,ลายเซ็น,0.59247935,3.21
56,เที่ยงวัน,กลางวัน,0.6493157,3.235
57,ป่าไม้,พงไพร,0.2909221,3.303
58,อัญมณี,เพชรพลอย,0.6601516,3.318
59,พืช,ต้นไม้,0.47583327,3.41
60,นักบวช,พระ,0.34064585,3.575
61,ป่าช้า,สุสาน,0.4980854,3.625
62,วัด,โบสถ์,0.44963303,3.693
63,ครู,อาจารย์,0.61504877,3.783
64,สุนัข,หมา,0.5378479,3.923
